Timestamp,L_HandThumbTip_posX,L_HandThumbTip_posY,L_HandThumbTip_posZ,L_HandThumbTip_rotX,L_HandThumbTip_rotY,L_HandThumbTip_rotZ,L_HandThumbTip_rotW,L_HandThumb3_posX,L_HandThumb3_posY,L_HandThumb3_posZ,L_HandThumb3_rotX,L_HandThumb3_rotY,L_HandThumb3_rotZ,L_HandThumb3_rotW,L_HandThumb2_posX,L_HandThumb2_posY,L_HandThumb2_posZ,L_HandThumb2_rotX,L_HandThumb2_rotY,L_HandThumb2_rotZ,L_HandThumb2_rotW,L_HandThumb1_posX,L_HandThumb1_posY,L_HandThumb1_posZ,L_HandThumb1_rotX,L_HandThumb1_rotY,L_HandThumb1_rotZ,L_HandThumb1_rotW,L_HandRingTip_posX,L_HandRingTip_posY,L_HandRingTip_posZ,L_HandRingTip_rotX,L_HandRingTip_rotY,L_HandRingTip_rotZ,L_HandRingTip_rotW,L_HandRing3_posX,L_HandRing3_posY,L_HandRing3_posZ,L_HandRing3_rotX,L_HandRing3_rotY,L_HandRing3_rotZ,L_HandRing3_rotW,L_HandRing2_posX,L_HandRing2_posY,L_HandRing2_posZ,L_HandRing2_rotX,L_HandRing2_rotY,L_HandRing2_rotZ,L_HandRing2_rotW,L_HandRing1_posX,L_HandRing1_posY,L_HandRing1_posZ,L_HandRing1_rotX,L_HandRing1_rotY,L_HandRing1_rotZ,L_HandRing1_rotW,L_HandRing0_posX,L_HandRing0_posY,L_HandRing0_posZ,L_HandRing0_rotX,L_HandRing0_rotY,L_HandRing0_rotZ,L_HandRing0_rotW,L_HandPinkyTip_posX,L_HandPinkyTip_posY,L_HandPinkyTip_posZ,L_HandPinkyTip_rotX,L_HandPinkyTip_rotY,L_HandPinkyTip_rotZ,L_HandPinkyTip_rotW,L_HandPinky3_posX,L_HandPinky3_posY,L_HandPinky3_posZ,L_HandPinky3_rotX,L_HandPinky3_rotY,L_HandPinky3_rotZ,L_HandPinky3_rotW,L_HandPinky2_posX,L_HandPinky2_posY,L_HandPinky2_posZ,L_HandPinky2_rotX,L_HandPinky2_rotY,L_HandPinky2_rotZ,L_HandPinky2_rotW,L_HandPinky1_posX,L_HandPinky1_posY,L_HandPinky1_posZ,L_HandPinky1_rotX,L_HandPinky1_rotY,L_HandPinky1_rotZ,L_HandPinky1_rotW,L_HandPinky0_posX,L_HandPinky0_posY,L_HandPinky0_posZ,L_HandPinky0_rotX,L_HandPinky0_rotY,L_HandPinky0_rotZ,L_HandPinky0_rotW,L_HandMiddleTip_posX,L_HandMiddleTip_posY,L_HandMiddleTip_posZ,L_HandMiddleTip_rotX,L_HandMiddleTip_rotY,L_HandMiddleTip_rotZ,L_HandMiddleTip_rotW,L_HandMiddle3_posX,L_HandMiddle3_posY,L_HandMiddle3_posZ,L_HandMiddle3_rotX,L_HandMiddle3_rotY,L_HandMiddle3_rotZ,L_HandMiddle3_rotW,L_HandMiddle2_posX,L_HandMiddle2_posY,L_HandMiddle2_posZ,L_HandMiddle2_rotX,L_HandMiddle2_rotY,L_HandMiddle2_rotZ,L_HandMiddle2_rotW,L_HandMiddle1_posX,L_HandMiddle1_posY,L_HandMiddle1_posZ,L_HandMiddle1_rotX,L_HandMiddle1_rotY,L_HandMiddle1_rotZ,L_HandMiddle1_rotW,L_HandMiddle0_posX,L_HandMiddle0_posY,L_HandMiddle0_posZ,L_HandMiddle0_rotX,L_HandMiddle0_rotY,L_HandMiddle0_rotZ,L_HandMiddle0_rotW,L_HandIndexTip_posX,L_HandIndexTip_posY,L_HandIndexTip_posZ,L_HandIndexTip_rotX,L_HandIndexTip_rotY,L_HandIndexTip_rotZ,L_HandIndexTip_rotW,L_HandIndex3_posX,L_HandIndex3_posY,L_HandIndex3_posZ,L_HandIndex3_rotX,L_HandIndex3_rotY,L_HandIndex3_rotZ,L_HandIndex3_rotW,L_HandIndex2_posX,L_HandIndex2_posY,L_HandIndex2_posZ,L_HandIndex2_rotX,L_HandIndex2_rotY,L_HandIndex2_rotZ,L_HandIndex2_rotW,L_HandIndex1_posX,L_HandIndex1_posY,L_HandIndex1_posZ,L_HandIndex1_rotX,L_HandIndex1_rotY,L_HandIndex1_rotZ,L_HandIndex1_rotW,L_HandIndex0_posX,L_HandIndex0_posY,L_HandIndex0_posZ,L_HandIndex0_rotX,L_HandIndex0_rotY,L_HandIndex0_rotZ,L_HandIndex0_rotW,R_HandThumbTip_posX,R_HandThumbTip_posY,R_HandThumbTip_posZ,R_HandThumbTip_rotX,R_HandThumbTip_rotY,R_HandThumbTip_rotZ,R_HandThumbTip_rotW,R_HandThumb3_posX,R_HandThumb3_posY,R_HandThumb3_posZ,R_HandThumb3_rotX,R_HandThumb3_rotY,R_HandThumb3_rotZ,R_HandThumb3_rotW,R_HandThumb2_posX,R_HandThumb2_posY,R_HandThumb2_posZ,R_HandThumb2_rotX,R_HandThumb2_rotY,R_HandThumb2_rotZ,R_HandThumb2_rotW,R_HandThumb1_posX,R_HandThumb1_posY,R_HandThumb1_posZ,R_HandThumb1_rotX,R_HandThumb1_rotY,R_HandThumb1_rotZ,R_HandThumb1_rotW,R_HandRingTip_posX,R_HandRingTip_posY,R_HandRingTip_posZ,R_HandRingTip_rotX,R_HandRingTip_rotY,R_HandRingTip_rotZ,R_HandRingTip_rotW,R_HandRing3_posX,R_HandRing3_posY,R_HandRing3_posZ,R_HandRing3_rotX,R_HandRing3_rotY,R_HandRing3_rotZ,R_HandRing3_rotW,R_HandRing2_posX,R_HandRing2_posY,R_HandRing2_posZ,R_HandRing2_rotX,R_HandRing2_rotY,R_HandRing2_rotZ,R_HandRing2_rotW,R_HandRing1_posX,R_HandRing1_posY,R_HandRing1_posZ,R_HandRing1_rotX,R_HandRing1_rotY,R_HandRing1_rotZ,R_HandRing1_rotW,R_HandRing0_posX,R_HandRing0_posY,R_HandRing0_posZ,R_HandRing0_rotX,R_HandRing0_rotY,R_HandRing0_rotZ,R_HandRing0_rotW,R_HandPinkyTip_posX,R_HandPinkyTip_posY,R_HandPinkyTip_posZ,R_HandPinkyTip_rotX,R_HandPinkyTip_rotY,R_HandPinkyTip_rotZ,R_HandPinkyTip_rotW,R_HandPinky3_posX,R_HandPinky3_posY,R_HandPinky3_posZ,R_HandPinky3_rotX,R_HandPinky3_rotY,R_HandPinky3_rotZ,R_HandPinky3_rotW,R_HandPinky2_posX,R_HandPinky2_posY,R_HandPinky2_posZ,R_HandPinky2_rotX,R_HandPinky2_rotY,R_HandPinky2_rotZ,R_HandPinky2_rotW,R_HandPinky1_posX,R_HandPinky1_posY,R_HandPinky1_posZ,R_HandPinky1_rotX,R_HandPinky1_rotY,R_HandPinky1_rotZ,R_HandPinky1_rotW,R_HandPinky0_posX,R_HandPinky0_posY,R_HandPinky0_posZ,R_HandPinky0_rotX,R_HandPinky0_rotY,R_HandPinky0_rotZ,R_HandPinky0_rotW,R_HandMiddleTip_posX,R_HandMiddleTip_posY,R_HandMiddleTip_posZ,R_HandMiddleTip_rotX,R_HandMiddleTip_rotY,R_HandMiddleTip_rotZ,R_HandMiddleTip_rotW,R_HandMiddle3_posX,R_HandMiddle3_posY,R_HandMiddle3_posZ,R_HandMiddle3_rotX,R_HandMiddle3_rotY,R_HandMiddle3_rotZ,R_HandMiddle3_rotW,R_HandMiddle2_posX,R_HandMiddle2_posY,R_HandMiddle2_posZ,R_HandMiddle2_rotX,R_HandMiddle2_rotY,R_HandMiddle2_rotZ,R_HandMiddle2_rotW,R_HandMiddle1_posX,R_HandMiddle1_posY,R_HandMiddle1_posZ,R_HandMiddle1_rotX,R_HandMiddle1_rotY,R_HandMiddle1_rotZ,R_HandMiddle1_rotW,R_HandMiddle0_posX,R_HandMiddle0_posY,R_HandMiddle0_posZ,R_HandMiddle0_rotX,R_HandMiddle0_rotY,R_HandMiddle0_rotZ,R_HandMiddle0_rotW,R_HandIndexTip_posX,R_HandIndexTip_posY,R_HandIndexTip_posZ,R_HandIndexTip_rotX,R_HandIndexTip_rotY,R_HandIndexTip_rotZ,R_HandIndexTip_rotW,R_HandIndex3_posX,R_HandIndex3_posY,R_HandIndex3_posZ,R_HandIndex3_rotX,R_HandIndex3_rotY,R_HandIndex3_rotZ,R_HandIndex3_rotW,R_HandIndex2_posX,R_HandIndex2_posY,R_HandIndex2_posZ,R_HandIndex2_rotX,R_HandIndex2_rotY,R_HandIndex2_rotZ,R_HandIndex2_rotW,R_HandIndex1_posX,R_HandIndex1_posY,R_HandIndex1_posZ,R_HandIndex1_rotX,R_HandIndex1_rotY,R_HandIndex1_rotZ,R_HandIndex1_rotW,R_HandIndex0_posX,R_HandIndex0_posY,R_HandIndex0_posZ,R_HandIndex0_rotX,R_HandIndex0_rotY,R_HandIndex0_rotZ,R_HandIndex0_rotW,L_Root_posX,L_Root_posY,L_Root_posZ,L_Root_rotX,L_Root_rotY,L_Root_rotZ,L_Root_rotW,R_Root_posX,R_Root_posY,R_Root_posZ,R_Root_rotX,R_Root_rotY,R_Root_rotZ,R_Root_rotW
665.7055,0.07840638,-0.03995046,0.107522,-0.03041503,0.3101467,-0.5960057,0.7400417,0.06540526,-0.03286576,0.08785005,-0.03041503,0.3101467,-0.5960057,0.7400417,0.05007265,-0.02533704,0.05869167,-0.03360324,0.2597057,-0.5330248,0.804555,0.02993623,-0.01655122,0.03472463,-0.09076291,0.3509757,-0.5746968,0.7336907,-0.02512283,-0.0530251,0.1613755,0.443931,-0.04074055,0.1462957,0.8830988,-0.02581246,-0.03450992,0.1455286,0.443931,-0.04074055,0.1462957,0.8830988,-0.02413334,-0.01691526,0.1256853,0.3470658,-0.07859828,0.1188925,0.926948,-0.01746526,-0.006529337,0.08869383,0.1293522,-0.09471991,0.06046703,0.9852107,-0.01499236,-0.006015792,0.03477554,0,0,0,1,-0.04761979,-0.04712675,0.1387928,0.3575888,-0.09912642,0.2377486,0.8976528,-0.04705445,-0.03287506,0.1220984,0.3575888,-0.09912642,0.2377486,0.8976528,-0.04379851,-0.02011194,0.106637,0.3065979,-0.1593379,0.2134806,0.913803,-0.03505409,-0.01369122,0.07789588,0.08671919,-0.1571433,0.1266466,0.9755751,-0.02299858,-0.009419835,0.03407358,0.01831182,-0.1403428,0.2070361,0.9680418,-0.007018234,-0.05502825,0.1707953,0.448938,-0.0727233,0.0929552,0.8857346,-0.005324098,-0.03546518,0.155334,0.448938,-0.0727233,0.0929552,0.8857346,-0.003216541,-0.01577167,0.1361845,0.3859914,-0.05885291,0.04113352,0.919704,0.001725935,-0.002543184,0.09564666,0.1553653,-0.06075644,0.0149936,0.9858732,0.003468831,-0.007764361,0.03439909,0,0,0,1,0.01720292,-0.04938288,0.1651535,0.4444416,-0.06333285,0.01225377,0.8934826,0.01986362,-0.03221711,0.1510285,0.4444416,-0.06333285,0.01225377,0.8934826,0.02143395,-0.01621462,0.1328042,0.3519111,-0.03508299,0.001446605,0.935375,0.02355067,-0.007316472,0.09599625,0.1190088,-0.02437141,-0.0313155,0.9921001,0.01967825,-0.00973893,0.03656156,0,0,0,1,-0.07171707,-0.06237062,0.09965097,0.06108832,-0.3869879,0.627131,0.6732128,-0.0598147,-0.04915793,0.08262244,0.06108832,-0.3869879,0.627131,0.6732128,-0.04988739,-0.03241133,0.05500045,0.1049815,-0.2833484,0.6000421,0.7407039,-0.02984928,-0.0166898,0.03479157,-0.02215397,-0.4344275,0.5911707,0.6791903,0.02214502,-0.06726192,0.1503598,0.5375928,0.04096198,-0.1573385,0.827382,0.02387753,-0.04585132,0.1388273,0.5375928,0.04096198,-0.1573385,0.827382,0.02309241,-0.02473129,0.1227191,0.4366741,0.07891785,-0.1265032,0.887178,0.01746526,-0.006529327,0.08869382,0.2351459,0.09187661,-0.07023651,0.9650556,0.01499236,-0.006015799,0.03477553,0,0,0,1,0.04013452,-0.05896341,0.1317579,0.4649219,0.07064351,-0.2497006,0.8464675,0.04222199,-0.04156198,0.1185305,0.4649219,0.07064351,-0.2497006,0.8464675,0.04093002,-0.02616294,0.105349,0.3965551,0.1351274,-0.2199839,0.8809609,0.03505411,-0.01369122,0.07789586,0.1914082,0.128611,-0.146698,0.9619262,0.02299854,-0.009419819,0.03407359,0.01831178,0.1403429,-0.207036,0.9680418,0.005852425,-0.06524833,0.1638612,0.490308,0.07306664,-0.09174481,0.8636216,0.004385873,-0.04431582,0.1502848,0.490308,0.07306664,-0.09174481,0.8636216,0.002596605,-0.02269851,0.1333004,0.434232,0.05647979,-0.04202622,0.898046,-0.001725883,-0.002543175,0.09564663,0.2412386,0.05679075,-0.01931813,0.9686102,-0.003425384,-0.007798957,0.03443261,0,0,0,1,-0.0191655,-0.05459065,0.1634029,0.4368515,0.05021137,-0.001318176,0.8981303,-0.02149826,-0.03768525,0.1489107,0.4368515,0.05021137,-0.001318176,0.8981303,-0.0225408,-0.02085165,0.1314118,0.3735946,0.02054979,0.006402379,0.9273424,-0.02355068,-0.007316473,0.09599626,0.181826,0.007240723,0.03408726,0.9827132,-0.0196348,-0.00980816,0.03659507,0,0,0,1,-0.01638961,1.182216,-0.6067947,-0.5084542,-0.7680085,-0.3114828,0.2337005,-0.4655329,1.174536,-0.5845278,0.4106233,-0.845646,-0.3248523,-0.1036456
665.8165,0.07706834,-0.04392596,0.106777,-0.0003435202,0.3123873,-0.6051815,0.732236,0.06494682,-0.0355095,0.08706808,-0.0003435202,0.3123873,-0.6051815,0.732236,0.05039597,-0.02628282,0.05799714,-0.008630281,0.2641879,-0.5427883,0.7971897,0.03001504,-0.01642339,0.03466265,-0.08179026,0.3666889,-0.5755129,0.7263846,-0.02612258,-0.05073297,0.1628658,0.4268013,-0.04421626,0.1454538,0.8914756,-0.02650135,-0.03280575,0.1463466,0.4268013,-0.04421626,0.1454538,0.8914756,-0.02447152,-0.01599069,0.1258702,0.3285163,-0.08245295,0.1180265,0.9334604,-0.01746521,-0.006529304,0.08869383,0.1170522,-0.09813162,0.05955224,0.9864697,-0.01499235,-0.006015811,0.0347755,0,0,0,0.9999999,-0.04893339,-0.04583193,0.1393594,0.3441249,-0.1058845,0.2358528,0.9026297,-0.04790863,-0.0319978,0.1223389,0.3441249,-0.1058845,0.2358528,0.9026297,-0.0442012,-0.01970665,0.1065993,0.291212,-0.1665463,0.2116005,0.9179778,-0.03505411,-0.01369118,0.07789582,0.07950791,-0.1628075,0.1249875,0.9754744,-0.02299855,-0.009419804,0.03407358,0.01831182,-0.1403428,0.207036,0.9680415,-0.007787388,-0.05132959,0.1738723,0.4147884,-0.07386398,0.09204869,0.9022315,-0.005807584,-0.03299897,0.1569992,0.4147884,-0.07386398,0.09204869,0.9022315,-0.003404854,-0.01478475,0.13647,0.3515904,-0.06162603,0.03955464,0.9332855,0.001725935,-0.002543129,0.09564663,0.1434625,-0.06261934,0.01449246,0.9875663,0.003508267,-0.007732396,0.03436812,0,0,0,0.9999999,0.01754901,-0.04836654,0.1662572,0.4287336,-0.06079223,0.01100789,0.9013161,0.02015579,-0.03171058,0.1515248,0.4287336,-0.06079223,0.01100789,0.9013161,0.02163946,-0.01629256,0.1327965,0.3371157,-0.03246929,7.960805E-05,0.9409032,0.0235507,-0.007316453,0.09599623,0.119968,-0.02158786,-0.03150631,0.9920428,0.0197177,-0.009674982,0.0365306,0,0,0,0.9999999,-0.07078914,-0.06291523,0.09993106,0.06737429,-0.382956,0.6306486,0.671631,-0.05924669,-0.0495459,0.08277759,0.06737429,-0.382956,0.6306486,0.671631,-0.0496407,-0.03268148,0.05511364,0.1085582,-0.2808961,0.6027452,0.7389258,-0.0297681,-0.01681715,0.03485309,-0.01954605,-0.4336361,0.5931742,0.6780283,0.02234565,-0.0667541,0.1511005,0.5294074,0.0415561,-0.1560725,0.8328522,0.02394841,-0.04555956,0.1391575,0.5294074,0.0415561,-0.1560725,0.8328522,0.02306996,-0.02467089,0.1227551,0.4302256,0.07926135,-0.1256251,0.8904169,0.01746523,-0.006529305,0.08869389,0.2343283,0.09145699,-0.07007699,0.9653058,0.01499235,-0.006015781,0.03477557,0,0,0,1,0.04026916,-0.05894754,0.1318217,0.4628964,0.07181738,-0.2495458,0.847524,0.04228309,-0.0415921,0.1185227,0.4628964,0.07181738,-0.2495458,0.847524,0.04094971,-0.02621293,0.1053221,0.3956625,0.1359993,-0.219945,0.881238,0.03505407,-0.0136912,0.07789592,0.1921978,0.1291412,-0.1469051,0.9616663,0.02299857,-0.009419836,0.0340736,0.0183118,0.1403428,-0.207036,0.9680419,0.005909633,-0.06464977,0.1647014,0.4801078,0.07263917,-0.09061812,0.8694878,0.004369458,-0.04404517,0.1506403,0.4801078,0.07263917,-0.09061812,0.8694878,0.002545713,-0.02271894,0.1332953,0.426665,0.05624017,-0.04128026,0.9017154,-0.001725925,-0.002543142,0.0956467,0.2415104,0.05615727,-0.01920517,0.9685818,-0.003384759,-0.007830825,0.03446334,0,0,0,1,-0.01906191,-0.05718448,0.16154,0.453149,0.05079223,2.176815E-05,0.8899869,-0.02142541,-0.03976408,0.1476762,0.453149,0.05079223,2.176815E-05,0.8899869,-0.02249921,-0.0222768,0.1308326,0.3911975,0.02095546,0.007188009,0.9200402,-0.02355072,-0.007316452,0.09599632,0.2017441,0.00701515,0.03467523,0.9787993,-0.0195942,-0.009871856,0.03662582,0,0,0,1,-0.00666821,1.169719,-0.6094995,-0.5114723,-0.7727055,-0.3112138,0.2108747,-0.4632454,1.170387,-0.5864526,0.4541497,-0.8199393,-0.330643,-0.110105
665.9275,0.07687309,-0.04457462,0.1065471,0.004901094,0.3135334,-0.6060645,0.7309988,0.06488007,-0.03591723,0.08686385,0.004901094,0.3135334,-0.6060645,0.7309988,0.05056772,-0.02633553,0.05778938,-0.002604733,0.2642166,-0.5444166,0.7961119,0.03007053,-0.01633237,0.03461856,-0.08116066,0.3702428,-0.5745171,0.7254404,-0.0277325,-0.04571522,0.1662536,0.3791015,-0.0493077,0.1399271,0.9133849,-0.02740446,-0.02955962,0.147997,0.3791015,-0.0493077,0.1399271,0.9133849,-0.02472633,-0.01470733,0.1261251,0.2843244,-0.08729613,0.1138135,0.9479379,-0.01746529,-0.006529325,0.08869383,0.1002262,-0.100099,0.05806073,0.9882128,-0.01499234,-0.00601579,0.03477558,0,0,0,1,-0.05112379,-0.04317062,0.1405289,0.3138359,-0.1170314,0.2300561,0.9137207,-0.04921392,-0.03035063,0.1228052,0.3138359,-0.1170314,0.2300561,0.9137207,-0.04474647,-0.01900917,0.1065581,0.2619488,-0.1772965,0.2068128,0.925839,-0.03505408,-0.01369118,0.07789591,0.06742899,-0.1701551,0.122108,0.975495,-0.02299858,-0.009419819,0.03407359,0.01831179,-0.1403429,0.207036,0.9680419,-0.008272618,-0.04734017,0.1769104,0.3749999,-0.07340228,0.08930322,0.9197895,-0.006023893,-0.03055662,0.1585285,0.3749999,-0.07340228,0.08930322,0.9197895,-0.003417385,-0.01393386,0.136714,0.3165199,-0.06247334,0.03721976,0.9457946,0.001725895,-0.002543157,0.09564668,0.133273,-0.06244195,0.0138718,0.9890134,0.003535985,-0.007709628,0.03434609,0,0,0,1,0.01913917,-0.04800873,0.166788,0.4214321,-0.05056782,0.006719078,0.9054244,0.02141052,-0.03159681,0.1517298,0.4214321,-0.05056782,0.006719078,0.9054244,0.02246409,-0.01638004,0.1328087,0.3320521,-0.02184582,-0.003234846,0.9430028,0.02355068,-0.007316461,0.09599629,0.1207787,-0.01051318,-0.03224468,0.9921002,0.01974536,-0.009629468,0.03650852,0,0,0,1,-0.06955851,-0.06305319,0.1004914,0.07649738,-0.3743406,0.6347699,0.6716287,-0.05858942,-0.04956038,0.08306067,0.07649738,-0.3743406,0.6347699,0.6716287,-0.04957667,-0.0326465,0.05522779,0.1140993,-0.2741702,0.6054989,0.7383654,-0.02974321,-0.01685573,0.03487163,-0.01996836,-0.4319185,0.5936102,0.6787304,0.02194491,-0.06855891,0.1494723,0.5387098,0.04209142,-0.1570825,0.8266472,0.02363429,-0.0471114,0.1380021,0.5387098,0.04209142,-0.1570825,0.8266472,0.02288476,-0.02578248,0.1221698,0.4425079,0.0793079,-0.1266059,0.8842332,0.01746522,-0.006529303,0.08869386,0.2500322,0.09089416,-0.07154679,0.961303,0.01499236,-0.006015794,0.03477554,0,0,0,1,0.03932658,-0.06085859,0.1302959,0.4769591,0.07075448,-0.2519005,0.8390773,0.04160791,-0.04312621,0.1175487,0.4769591,0.07075448,-0.2519005,0.8390773,0.04057282,-0.0272741,0.104892,0.4128521,0.1341198,-0.2219184,0.8731079,0.03505412,-0.0136912,0.07789585,0.2109519,0.1269434,-0.1503856,0.9574806,0.02299862,-0.009419853,0.03407354,0.01831185,0.1403429,-0.207036,0.9680417,0.005727336,-0.06776039,0.1618589,0.4977138,0.07433929,-0.09118855,0.8593251,0.004241396,-0.04659644,0.1486485,0.4977138,0.07433929,-0.09118855,0.8593251,0.002497922,-0.02449554,0.1322934,0.4471388,0.05688205,-0.04266357,0.891634,-0.001725937,-0.002543149,0.09564668,0.2644347,0.05679245,-0.02066682,0.9625082,-0.003372318,-0.00784046,0.03447262,0,0,0,1,-0.01827595,-0.06108648,0.1581776,0.483834,0.05606566,-0.0002755046,0.8733624,-0.02080992,-0.04274698,0.1455879,0.483834,0.05606566,-0.0002755046,0.8733624,-0.02209364,-0.02421067,0.1299219,0.4207335,0.02615981,0.006387868,0.9067848,-0.02355068,-0.007316472,0.09599626,0.2293942,0.01157385,0.03466292,0.9726475,-0.01958176,-0.009891144,0.0366351,0,0,0,1,-0.03770268,1.124882,-0.6411042,-0.5252052,-0.7676784,-0.3090621,0.198268,-0.4280025,1.132741,-0.6153184,0.4888658,-0.7876448,-0.3523711,-0.1282988
666.0386,0.07233047,-0.05564298,0.1034682,0.07456156,0.3269938,-0.6321513,0.6984988,0.06244959,-0.04366931,0.08435781,0.07456156,0.3269938,-0.6321513,0.6984988,0.05067814,-0.02960033,0.05597695,0.0643042,0.2755809,-0.5765027,0.7665278,0.03007565,-0.01632384,0.03461442,-0.04992705,0.4110748,-0.5817087,0.7001001,-0.02863654,-0.04307698,0.1677128,0.3548255,-0.05258957,0.1373561,0.9232914,-0.0279307,-0.0278735,0.1486663,0.3548255,-0.05258957,0.1373561,0.9232914,-0.02493951,-0.01392759,0.1262451,0.2645772,-0.09014329,0.1121648,0.9535683,-0.0174653,-0.006529284,0.08869379,0.09000952,-0.1020972,0.05715966,0.9890437,-0.01499234,-0.00601576,0.03477555,0,0,0,1,-0.05270267,-0.04169125,0.1412357,0.2875835,-0.1271741,0.2242364,0.9224102,-0.05000853,-0.02978676,0.1229831,0.2875835,-0.1271741,0.2242364,0.9224102,-0.04498574,-0.01909539,0.1064599,0.2424113,-0.1857084,0.2027142,0.9304066,-0.03505408,-0.01369119,0.07789588,0.06838893,-0.1744158,0.1221284,0.9746728,-0.0229986,-0.009419853,0.03407354,0.0183118,-0.1403428,0.2070359,0.9680417,-0.009010334,-0.0404415,0.1804623,0.3300411,-0.07328842,0.08713397,0.9370751,-0.006475809,-0.02551749,0.1605754,0.3300411,-0.07328842,0.08713397,0.9370751,-0.003623226,-0.01087053,0.1374171,0.2749371,-0.06408328,0.03515016,0.9586802,0.001725872,-0.002543138,0.09564661,0.0969008,-0.0638871,0.01181981,0.9931713,0.003538509,-0.007707477,0.03434398,0,0,0,1,0.02011595,-0.04269457,0.1701826,0.3746,-0.0440118,0.00622874,0.9261206,0.02217475,-0.0279091,0.1534969,0.3746,-0.0440118,0.00622874,0.9261206,0.02295568,-0.01452101,0.1332283,0.287704,-0.015479,-0.004325646,0.9575847,0.02355067,-0.007316451,0.09599622,0.0956202,-0.004817069,-0.03191328,0.9948947,0.01974798,-0.009625212,0.03650647,0,0,0,1,-0.06081453,-0.07495008,0.0970514,0.1363368,-0.3900959,0.66274,0.6245107,-0.05219497,-0.05861782,0.08076739,0.1363368,-0.3900959,0.66274,0.6245107,-0.04603535,-0.03829525,0.05447998,0.1679925,-0.2878067,0.641404,0.6910477,-0.02871259,-0.01831393,0.03556541,0.04019368,-0.4555295,0.6181487,0.6393511,0.02776412,-0.06289718,0.1559083,0.4583541,0.07161716,-0.1566525,0.8719192,0.0274319,-0.04370759,0.1408729,0.4583541,0.07161716,-0.1566525,0.8719192,0.02469333,-0.02485141,0.1223502,0.3737855,0.108468,-0.1269019,0.9123681,0.01746527,-0.0065293,0.0886938,0.2352727,0.1145056,-0.07442655,0.962287,0.01499232,-0.006015773,0.03477556,0,0,0,1,0.04371012,-0.06001319,0.1318758,0.4261705,0.1053801,-0.2485351,0.863426,0.04394415,-0.04343921,0.1174751,0.4261705,0.1053801,-0.2485351,0.863426,0.04147184,-0.02832509,0.1041334,0.3803552,0.1640086,-0.2207445,0.883008,0.03505407,-0.01369117,0.07789586,0.2265016,0.1471757,-0.1561722,0.9500772,0.02299858,-0.009419831,0.03407356,0.01831177,0.1403428,-0.207036,0.9680418,0.01142197,-0.05834981,0.1701899,0.4098002,0.09962997,-0.09679291,0.9015371,0.008329649,-0.04012709,0.1533672,0.4098002,0.09962997,-0.09679291,0.9015371,0.004954183,-0.02101166,0.1338176,0.371308,0.08557441,-0.04780643,0.9233214,-0.001725957,-0.002543172,0.09564666,0.2193597,0.08531589,-0.02319393,0.97163,-0.002857035,-0.008205015,0.03481952,0,0,0,1,-0.0178125,-0.05492119,0.1631946,0.436314,0.05904146,-0.004683227,0.8978434,-0.02044697,-0.03803501,0.1487316,0.436314,0.05904146,-0.004683227,0.8978434,-0.02184767,-0.02121604,0.1312436,0.3732863,0.02960332,0.003662133,0.9272366,-0.02355072,-0.007316462,0.0959963,0.1872278,0.01657831,0.03299157,0.9816225,-0.01906645,-0.01062026,0.03698197,0,0,0,1,-0.1002666,1.122808,-0.6938515,-0.6591035,-0.6661779,-0.2930489,0.1895049,-0.3565005,1.108532,-0.6756579,0.6345795,-0.6505048,-0.3852921,-0.1603197
